<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
SABIC,20031118,30.9488,31.0488,30.7988,30.8488,158105
SABIC,20031117,31.1488,31.2238,30.9488,30.9488,318061
SABIC,20031116,30.9988,31.3987,30.9988,31.1988,800076
SABIC,20031115,30.7488,31.0738,30.7488,30.9738,356026
SABIC,20031113,30.7738,30.7988,30.7238,30.7738,10485
SABIC,20031112,30.6488,30.8738,30.6488,30.7238,111186
SABIC,20031111,30.7988,30.9238,30.5988,30.6738,256456
SABIC,20031110,31.0238,31.0988,30.7738,30.7988,430012
SABIC,20031109,30.5988,31.1238,30.5988,30.8988,716367
SABIC,20031108,30.5988,31.0988,30.5988,30.9738,494375
SABIC,20031106,30.3988,30.7988,30.3988,30.6988,105358
SABIC,20031105,30.8988,30.9738,30.1988,30.5988,500877
SABIC,20031104,30.5488,31.1488,30.5488,30.8988,1317704
SABIC,20031103,30.1988,30.6488,30.0238,30.5488,726155
SABIC,20031102,29.6988,30.4988,29.6988,30.0488,537441
SABIC,20031101,29.7988,29.9488,29.3238,29.6988,247049
SABIC,20031030,29.7488,29.9988,29.3988,29.8488,113338
SABIC,20031029,30.1238,30.7738,29.7238,29.7488,1065862
SABIC,20031028,28.8238,30.5988,28.5239,30.3988,1085535
SABIC,20031027,29.6988,29.8488,28.8238,29.2738,326403
SABIC,20031026,30.1988,30.2488,29.6988,29.7488,431944
SABIC,20031025,31.1988,31.3737,30.0988,30.2238,699344
SABIC,20031023,30.8988,31.1988,30.7488,30.9738,178720
SABIC,20031022,31.5737,31.5737,30.8988,31.0488,787961
SABIC,20031021,31.2987,31.7237,31.1988,31.4987,1731905
SABIC,20031020,31.5237,31.6737,30.0988,31.2987,2339620
SABIC,20031019,31.2987,31.7737,30.9988,31.4487,857457
SABIC,20031018,32.3987,32.3987,31.2737,31.6237,1242669
SABIC,20031016,33.1487,33.1737,32.5237,32.6737,566039
SABIC,20031015,32.7987,33.1237,32.3987,33.0987,1749919
SABIC,20031014,32.0737,32.7987,31.2987,32.7237,1259303
SABIC,20031013,33.1987,33.3237,31.6987,32.0987,2016345
SABIC,20031012,33.1987,33.4987,32.9487,33.1987,852985
SABIC,20031011,34.0736,34.1736,32.6987,33.2987,3547818
SABIC,20031009,33.7237,33.9486,33.7237,33.9486,1333545
SABIC,20031008,33.1987,33.6987,33.0987,33.6487,2901860
SABIC,20031007,32.4987,33.0737,32.3987,33.0487,1641677
SABIC,20031006,32.7237,33.0737,32.3987,32.6987,1665683
SABIC,20031005,33.0487,33.0737,32.2487,32.7487,1024688
SABIC,20031004,32.7987,33.2987,32.2987,32.9487,1647637
SABIC,20031002,32.5487,32.7237,32.4987,32.6987,377146
SABIC,20031001,32.3987,32.8487,32.2987,32.5737,1663007
SABIC,20030930,31.9987,32.3237,31.8237,32.2987,795425
SABIC,20030929,32.4737,32.5237,31.4987,32.0237,1200872
SABIC,20030928,31.9987,32.5237,31.9987,32.3987,803158
SABIC,20030927,32.9987,33.1987,30.9988,31.9737,1303186
SABIC,20030925,32.5987,32.9487,32.1987,32.4987,1175265
SABIC,20030924,29.0238,32.3737,28.9988,32.3737,3744379
SABIC,20030923,31.4987,31.5987,28.2989,29.4488,3307470
SABIC,20030922,32.2987,32.4987,30.9988,31.4237,1816208
SABIC,20030921,32.1487,32.6987,30.0988,31.9987,1307775
SABIC,20030920,33.3487,33.3487,31.6987,32.0237,1157082
SABIC,20030918,32.9737,33.4737,32.7987,33.2987,339001
SABIC,20030917,33.2987,34.0236,32.8737,33.0487,1994057
SABIC,20030916,31.3737,33.0987,31.2238,33.0737,2490804
SABIC,20030915,33.9986,33.9986,30.6488,31.1988,3421794
SABIC,20030914,34.0986,34.4236,33.9486,34.0486,516645
SABIC,20030913,34.7736,34.7736,33.8986,34.2736,1228328
SABIC,20030911,34.9236,34.9486,34.6986,34.8986,221448
SABIC,20030910,34.5986,35.0736,34.5736,34.9236,3002866
SABIC,20030909,34.1986,34.5986,33.9736,34.4486,1224255
SABIC,20030908,34.6986,34.6986,34.2236,34.2486,624597
SABIC,20030907,33.7487,34.7736,33.6737,34.5736,1541752
SABIC,20030906,34.8486,34.8736,33.2987,33.7986,1410624
SABIC,20030904,34.2986,34.8486,34.1236,34.5986,1165800
SABIC,20030903,33.4987,34.1986,33.4987,34.1736,2029255
SABIC,20030902,32.4987,33.4487,32.3737,33.4487,1520468
SABIC,20030901,31.7487,32.4487,31.5237,32.3987,1234215
SABIC,20030831,32.9487,32.9487,31.4987,31.6987,1758939
SABIC,20030830,33.3237,33.4987,32.6987,32.7987,1897911
SABIC,20030828,32.0237,32.6737,31.9987,32.6737,999743
SABIC,20030827,31.2987,32.1487,31.2987,31.8487,2211198
SABIC,20030826,31.0988,31.3987,30.9988,31.2238,817595
SABIC,20030825,30.7988,31.1988,30.6988,30.9738,663009
SABIC,20030824,30.9238,31.4987,30.6988,30.7988,1551785
SABIC,20030823,30.2988,30.9738,30.1988,30.7738,1299672
SABIC,20030821,30.0488,30.3488,29.9488,30.2488,256853
SABIC,20030820,30.1988,30.2488,29.9988,30.0238,323988
SABIC,20030819,29.9988,30.3488,29.8988,30.1488,481376
SABIC,20030818,30.0988,30.1488,29.8488,29.8988,465026
SABIC,20030817,29.9988,30.4988,29.8988,30.0238,1095648
SABIC,20030816,29.0238,30.1988,29.0238,29.9988,4203218
